,Filename,Prompt,Language,Score Level,Text
6220,1045808.txt,P3,ARA,low,"I agree about young people nowdays do not give enough time to helping their communities .

In this day you will find and you will eveything about young people how they treat their parent and
"
5254,913632.txt,P5,DEU,high,"In twenty years there will be fewer cars in use than there are today .
What will happen with the development of cars ?
Will the amount of driving cars in 2030 increase or decrease ?

Let 's take a short look on the fast development of cars .
They were invented in about the 1920s and became more and more popular for all people all over the world within the last century .

Nowadays , it is unbelieveable not to have car or a possibility to lend one , if you need one .
People got used to their drivable possibility to get from point A to point B whenever they want to and how often they want to .
They do n't depend on any busses , trains or even flights .
Even think of the high taxes and fees one has to pay if he uses any public traffics .

Beside the fact , a car is one 's chance to get form A to B , a car enables you to feel free and independent .
If you want to go on vacation , get your car ready and leave your homecountry .
But this , unfortunately , is luxuary , especially in times like this when oil-price is as high as it has never been before .
One has to effort his or her car .
Having a car , turns out to be a question of money and the possibility to effort it .
It 'll be senseless , to spend all your loan on gas , would n't it ? !

Furthermore , the amount of gas that pollutions the air everyday , every minute , exactly every second , is still rising and does n't seem to get less in future .
Although there are several techniqual developments and inventions , it 'll be a problem and influences the environment a lot .

What will be in about 20 years ?
Will people think about this facts and problems and turn into another development of enviromental and social thinking ?
Will there be a chance to be fewer cars used than they are today ?
In my opinion , I do n't believe in this solution , being fewer cars in 2030 than they are now .
People more and more get selfish , always want the best and newest version of an invention ( car ) and they probably will change a certain way of group , social and enviromental thinking but they wo n't change their behavior towards car-using .

In my opinion , there are only two things that will lead a change in the amount of cars used .
First the changing of laws by the government enforcing people to fullfill certain policies in car using ( such as car sharing , car-free days , etc . )
and second if the oil price is still increasing !
"
2466,427905.txt,P2,FRA,high,"Do young people really enjoy life more then older people do ?
Being a young person I cannot say that I 've experienced old age , and this makes the question all the more difficult to answer .
However when I hear about all attempts to try and remain young , with skin care products or even people selling their soul to the devil in exchange for eternal youth , I ca n't help but assume that being young truly is the most enjoyable age group .
Why would people fear old age otherwise ?
When I consider all the things I can do but my grandpa ca n't , I really do consider myself to be lucky .
I can play soccer , run around all day , eat thousands of calories without taking a pound but he can barely get off the couch to eat his soup .
I 'm constantly discovering the world and participating in it 's development but old people live in the past loosing themselves in deja-vus ...
Is this however only what makes us truly happy ?
Physical well being cannot only be the source to happyness .

Old people appreciate what has been done , they are proud of their accomplishments .
They get to see their familly grow , watch their children become parents , and grandchildren grow slowly taller then they are .
Older people do not have to worry about the mundane and often supperficial preocupations of a teenager .
Old people get to look forward to retiering , young people only the unfortunate prospect of a lifetime of work ...

How can someone judge happyness to be a inverse relation of age ?
Older people and young people just as they have different problems , can also have different ways of percieving joy .
I think it would be using a very limited perspective if we only took into account our steriotypical criteria .
Can the thrill of playing a hard fought game of soccer not be compared to the blissfulness of tranquillity ?
"
8775,1386341.txt,P8,ZHO,medium,"In recent years , our society is growing very fast .
Many new things have occured and many old things were eliminated .
The reson why it is because people are trying to do new things and do something which they have never tried before rather than only doing what they already know how to do well .

Firstly , I believe the sentence `` no pain no gain '' .
The sentence shows that people need to sacrifice something in order to gain what they expected , especially taking risks .
Obviously , business man tends to produce new products in order to gain more profit .
But the things is , they need to take a high risk and try things they have never tried before .
They must have the courage to do some risky things .
I do n't think they would continuoulsy doing the old things and having an `` old '' return .
That 's are the main reasons why they become successful .

Secondly , I have heard about a theory `` high risk equals to high reuturn '' .
Take students as an instance .
The top students often spend a lot of time on their studies , they devoted themself for sacrificing their spare time and souls into studies .
I believe they know that theory very well .
The reson why they keep doing that is , they know they will have a good return for what they did .

Last but not least , successful people try to invent new things and doing new things .
We can actually tell why the scientist are so successful on their performance to their works .
It is because they know that if they try to do things that no body has done before , they will eventully become successful people by the honor given by the public .

In conclusion , I think courage and patient are the two essential thing to become successful .
Successful people require these two elements , and they need them more that anybody in the world .
that why they are successed .
"
3413,591457.txt,P8,TUR,high,"Some may argue that successful people do n't try new things meaning that they do n't take any risks in the life .
However , I disagree with this opinion and for some reasons I beleive that one should take risks in order to be successful in the life .

First of all , trying new things develops one 's imagination and creativity .
In other words doing the things which we already know brings ordinarity and make people 's life monoton .
I think , imagination and creativity plays very important role in being successful .
Only if you have some extraordinary imagination and creativity you can succeed .
I wolud like to qoute from Albert Einstein saying `` Imagination is more important than knowledge , knowledge is limited but imagination encirles the world . ''

On the other hand , the life itself , I beleive , is a risk .
No one can know for sure what tomorrow will bring .
So , if we are living in a risky life , then , it is unnecessary to hesitiate to take some risks in the life .
By taking risks , people increases their chances of finding new opportunies to make their lifes more enjoyable , confortable and desirable .
I think , most of the successful people taking risks beacuse of the invevitability of risks .

Thirdly , no one can know what something new will bring without trying it .
I mean , of course , while something new will have both negative and positive effects , not to trying it restricts the probability of getting the positive side .
I beleive that making some preliminary studies , I mean thinking , one can easily take risks in the sake of getting the positive sides .

For these reasons I stated above , I am of the opinon that successful people try new things and take risks in the life .
"
9457,1520690.txt,P7,FRA,medium,"I do agree with the statement .
But I have to moderate my claim .
Coming out of the University , I can see I have learn a lot of things , and I have forgotten an equal number of it .
What will stay after passed years ?
The ideas , and the concepts .
In courses , it , s really important to learn a way to think .
Not the same as the professor 's one , but its own one guided by teachers experience .

So , is the knowledge unusefull ?
Certainly not .
In order to develop his own way to learn , the student needs strong basis .
If he does n't have good instalements , his science building is going to fail .
In the elementary school , we already have to set up those strong basis .
Otherwise , the only way to build up a good mental structure is to receive examples to learn .
How to understand a car is riding without knowing how works an engine .
The knowledge is also important to be able to make connections between different areas , to compare some stuffs .
As an archeologist discovering some news objects .
He needs to know how was the environment , the atmosphere to figure out how those objects could be usefull for peoples who lived there .

In Belgium , we have this big issue in the high school level .
Actually , we try to reduce the knowledge of students and to give us more skills an abilities .
But the college professors start to mean their students come into their courses with too big lakes .
So , there is an emergency in finding the best middle way between pure knowledge and skills .
I think that the more we grow up , the more we have to leave knowledge to get a lot of abilities and concept .
At the and of college , student get very various jobs and have to learn again what is typically needed for their domains .
So we never stopped to learn , and college is there to give us concpets .
"
2951,511877.txt,P8,JPN,medium,"I agree with the statement that successful people try new things and take risks rather than only doing what already know how to do well .
There are two reasons .
First , when high school student , I attended boxing club .
In practicing , I prefered to weaker people to fight with , because it easy way to improve my technic without pain .
In other words , I was ordinary boxer and could not win at big competitons .
On the other hand , one of our club member tried to fight with stronger person than he is everytime .
I think he tried new things which is risky to become strong boxer .
Finally , he won a big competiton and be chosen as a Japan 's representate boxer .

Second , the president of Microsoft corporation dropped off his school and focused on a new technology .
Although it is challenge , if he failed , he loses good oppotunity for prestige since his university is well known for reserch and study .
He invented new programs and it spread out all over the wolrd nowadays and is the world richest person of this year .

In conclusion , at least these two successful persons challenged new styles and found their styles .
It derives from taking risk somehow , So I regard that people who achieve something have tendency of challenging new things and taking risks .
"
1803,311318.txt,P3,SPA,high,"First of all I would like to write that I am in complete agreement with the statement .
Let me say some of the reasons that support my decision : Since there are more innovations and new thing coming in , the young peolpe spend their time doing things that in the near future do not contribute with the development of their community .

As an example I would like to say some examples about what the young peolple of my country do at the moment and what the young peolple did before .

I remembered when I was at the school , the teachers took us to different places of the city in order to do social activities with the poor people , we braught them food , toys , clothes , and it was really satisfactory for all of us .
In addition to all this activities , at the end of the school , I mean in the last year , we had to do a social project whit the community and it was a part of the grades at the end of the year , but anyway we did that for other reasons ... `` help the people '' .
However , after to have finished the school , I still carry on with this kind of activities and some of friends also do that yet .

On the other hand , when I look at the young people now , I get surpriesed how the life change and how the activities that we used to do it before do not exist right now .
What the zoug people are interested in ? ...
Go to the disco , play x/box , playstation , internet , watching T.V , etc. and some others activities that do not contribute with the integral formation of the person .
I think that much of the behaviours the young people have , are coming from the rapidly change of the world .
However we can not forget that we do not live alone , we live with other people that probably need our help and we have not realised yet ..
"
3162,548894.txt,P8,DEU,high,"I agree with the statement because I believe , that we would not live in the world of today if it were n't for men and women who had the courage to leave their old jobs behind and start something new .

To begin with , we all profit from those extraordinary men and women who have dedicated their lives to try new things and take risks rather then enjoying the merits they could have had by doing their normal jobs .
Every successful woman or man today could not have been that successful if it was n't for the pioneers in the past .
Although it takes a lot of courage to take a risk , the chances of being really successful are much higher too .
If one is dedicated and puts all his passion into one idea or thought , the chances that he might be succesfull will increase a lot .

This point can be illustrated by taking an example from history .
In todays world we all profit from the high mobility which is made possible by cars , and even more so , by planes .
But it took two brothers in 1903 all their courage and money to construct an absolutely new type of vehicle and to test it themselves .
Their risk was a high one , but their success was even higher and can be seen everyday in today 's world .

This is only one example of how we profit of those people who chose not to live a cozy and unspectacular life , but to dare something .
I am not saying , that everybody needs to try to invent something new and be innovative , but a certain percentage of those pioneers is needed to strengthen the innovative process which underlies economic growth .

In conclusion we can see the enormous importance of pioneers and how no country can go without them .
Everybody will profit from the advantages those innovations will bring for a society .
Thus , a government should always support those people who take risks since their innovations are the basis for a better world tomorrow .
"
2290,395784.txt,P4,TUR,high,"I agree that most advertisements ignore their actual purpose and work for making products seem better than they actually are .
However , in today 's world , where advertising has become a sector on its own and where companies compete to produce the most creative advertisements and attract the most number of potential buyers , it is not a given that just because an advertisement has been made , it will create a better image in peoples ' minds than the product itself .

While watching televison , we are exposed to numerous different advertisments and we are inevitably influenced by what is being promoted on the screen .
However , in my opinion , this same fact is one of the most important reasons why the impact of such advertisements on people are decreasing everyday .
It is the nature of human beings to get used to occasions which they have experienced numerous times .
Hence , people have been very well acquainted with advertisements of varying types and do not perceive them as they used to perceive many years ago when there were n't so many options .

I belive that the given statement is true only if we change the phrase `` most advertisements '' to `` few advertisements '' .
Even though today 's advertisements still exaggerate the actual features of the promoted products , most of them do not bear the effect of actually misleading people to go out and buy such product .
For example , if we think of a shampoo advertisement , where a girl washes her hair with the promoted product and her hair suddenly starts to shine , we can definitely say that the products seems better than it really is , however such an advertisement is so common on the screens that it is no longer believable to most people .

In conclusion , I do believe that advertisements may hav
"
