response_E,escore
"I would feel very awkward because I do not know the people with whom I am supposed to be interacting. Even though I was very nervous on the inside, I would go to any refreshments table. Hopefully, someone there will say something that would spark a conversation. I would try to ease into conversation with others while I waited for my friend. If there was no spark of conversation, I would hang back in the room until my friend came. I would probably not be very happy with this friend, especially if they were more than a couple minutes late.",2.333333333
I would be extremely uncomfortable and upset with my friend for not making sure they were at the party before me so I knew someone else there. I would probably find something to drink so it felt like I was keeping myself busy and then I'd slowly wander around the area acting like I was looking for someone. I might also find a spot to sit and get on my phone so it looked like I was busy and not lonely. I would feel embarrassed by other people thinking that I didn't have any friends and I'd do what I could to avoid interacting with others until my friend arrived.,2.583333333
"I would feel a bit afraid since I'm not comfortable being in a crowd of people I don't know too well. However, I'm also relatively good at making friends, so I would try to see if I can reach out to other people at the party to see if they want to talk and become friends. I would also check out the other activities at the party so that when my friend arrives, I can tell them about what I think are the best parts of the party, so that we can enjoy them together. I would definitely check out the food at the party and ask other guests what they think tastes the best, since I'm a foodie and I'm sure my friend would be, too.",2.833333333
"I would be a bit annoyed at my friend being late, but realize these things happen. I would feel a little nervous around people I didn't know, but I would do my best to just mingle and wait patiently for my friend to get there. I would maybe introduce myself to the host so he knows I'm supposed to be there. Otherwise I wouldn't do much of anything until I was comfortable with the situation. That is what I would do in this kind of scenario, as I am not much of a people person. I can't imagine I would do anything else in this particular situation.",2.166666667
"I would be annoyed that they had invited me to this party where they knew that I was the only person that I know and I would think that it was rude of them to be late. I would most likely wait in my car for them to arrive and I would text them and tell them that I was waiting on them. I think that I would most likely play a game on my phone while I waited for them, I would only wait about 15 to 20 minutes for them to arrive though. If they were going to be later than that I would just go home.",3.416666667
"I would feel very uncomfortable if I arrived at the party early and my friend was not there. I would probably wait in my car and play with my phone until my friend arrived. If I did not have a car with me, I would find a place to sit and wait for my friend. While waiting I would probably introduce myself to the host so that they knew who I was and let the host know that my friend was running late but she is coming. I would feel uncomfortable introducing myself, but I would also feel obligated to do so.",1.583333333
"I would feel highly anxious about my friend being late and wonder if he's going to actually show up. I would first text him to see if he's on the way and to get an estimate of how much longer I should expect to wait. Depending on his answer, I might decide to mingle with some of the other people in the party and see if I can join in on a conversation. I would also go and grab a drink or two to take some of the edge off. If he ends up being very late or not showing up, I would try to make the best of being at the party on my own and try to make friends with someone there. If it ends up being too uncomfortable, I might excuse myself and go home early.",2.416666667
"I'd be anxious and feel uncomfortable. The first thing I would do is start looking for the snack area and alcohol. Alcohol helps ease my anxiety and so I can loosen up a bit. Social settings tend to be anxiety inducing for me. I've been in situations like these before. Eventually, I end up having quite a bit of fun. Sometimes, my mind just play these scenarios and make up bad things. That is just anxiety for you. I'd make sure that I will have a good time with or without my friend. Plus, I'm certain by the end of the night, I have made some new mates myself.",3
"When I get there, I would definitely be a bit nervous and feel some anxiety because I don't know anyone there. The first thing I would do is wait outside for my friend and text him. I would ask him how long until he arrives. Then I would most likely just go to the party alone first. I would try to get an alcoholic drink so I can loosen up. After that, I would find the host and introduce myself and tell him how my friend is late. When that is done, I would probably find some people and introduce myself to them as well. I would just make the most of the time until my friend arrives.",4.5
"I really don't mind being around people I've never met before, so I wouldn't be very uncomfortable waiting for my friend. I know how important this party is to him or her, so I would do whatever I had to do to make it a successful night for my friend. I would probably introduce myself to some people while I waited for my friend. I think it might help my friend relax when he gets to the party if he sees me having fun and getting to know some of the guest. I hope he or she would be able to join in on the conversations that I have started.",4.583333333
I would feel mad at my friend because I am coming to this party and expecting them to be there. Since I do not know anyone else there it would be awkward for me to try to find people to talk to and I think it is rude of my friend. I would discuss with them when I saw them how this makes me feel and I would not go to a party with my friend again because of this. I would consider how much I want to keep them as a friend because of why they did this to me. I would try my best to enjoy the party while they are on the way to the event.,3.333333333
"I would call them a few times and see if they are still on for the night and if we are still going to party, I need to know whether or not I'm wasting my time and if I'm going to go out with them or not. Because them running late would make me feel bad and make me feel like they just kind of stood up the entire situation and made something worse when I expected more from them. I would at least hope to know something, but in the meantime, I would talk to other people and try to get my name out there and just feel more comfortable in that situation, so I think I'd really just be buying time until my friend decided to show up or tell me they cannot make it, whatever the situation I would do what I can to make the most of it.",2.916666667
"I would feel good and not too worried that my friend was late. In the mean time I would check out the scenery and greet people and introduce myself. I would strike up a convo with someone so I could pass the time while waiting for my friend to arrive at this party that he invited me to tonight. I would probably have a drink and some snacks, if they were offered and would just be patient and friendly and comfy until the arrival of my late friend. I think it would be ok to be a little late to the part.",4.25
I would feel a little nervous and would want to wait as late as I can to go in. I would then go I and grab a drink and just find a corner where I can kind of hide until my friend gets there. I can look busy and look on my phone and really find anything to keep my mind and attention to until my friend finally shows up. I would give it a 20 minute or so wait until I might think about leaving that party and going home or somewhere else. I know my friend might be mad if I did that but I would feel pretty uncomfortable anyway.,4
"I would probably go straight to the fridge and grab a drink. I would text or call my friend to see where he or she is at. I would look around the party to see if there are people dressed in a certain way that matches my style. I would also look around to see if people are talking about anything I may know about. If I notice someone may have a similar interest or hobby as me, I would walk over, introduce myself, and ask them a question. If they seemed friendly I would continue talking to them until my friend arrives. I would really hate standing alone in the corner.",2.416666667
"It would be highly annoying that he is late, but will introduce myself and make small talk with other guests. Will probably just have one drink and if he still doesn't arrive will bail out. It is not really any fun to be at a party where you do not know anyone. It is a small world, though, so the odds of finding someone on common ground would be pretty good. Different people will react differently. Some will make a lot of small talk and try to enjoy themselves, while others will bail as soon as possible without trying to appear rude.",2.916666667
"I would feel incredibly awkward and uncomfortable. I'd see my friend as my security blanket and without them being there, I would not just waltz in and start conversing. If I'm in my car and notice they aren't there yet, I'm probably going to just awkwardly sit in my car and text or call my friend to see what the situation might be. If I've walked to a place with other people and there's no sign of my friend, I'm going to give them a call to find out where they may be located and when they may arrive. From there, I'll just have to wait it out.",2.166666667
"I would be okay. I do well at parties and events where I am there alone and don't know anybody else. As long as the party is fun and the people there are cool then I would do just fine. Of course I would get a hold of my friend and let them know I am there and see when they will be arriving. But other than that it would be okay, if anybody says anything I will just say I came with my friend but he or she hasn't arrived yet. No big deal overall! I just find it really easy to talk to strangers and make new friends, I do it all the time.",5
I would be aggravated with my friend since she is the one who was invited and she knows the host. I would prefer to wait in my car until they arrived but I wouldn't be opposed to going on inside. I would be a little embarrassed but would go ahead and enter. Then I would mingle with the guests and meet new people as if I actually belonged. It is already and awkward situation so I don't think I could make it much worse. I would start at the beverage and snack area to find someone to converse with so I didn't seem so alone.,4.166666667
I would wait for my friend in the car or not inside the house. I would probably text her a lot and ask her why she is late and what she is doing that is taking forever. I would feel very anxious and would tell her that I was going to leave if she did not come quick. I would over think everything and think she didn't really want to see me if she could not be on time. I would consider leaving if she took to long because I would be so anxious and upset. I would probably fix my makeup in the car or try to do something to keep my mind of the situation and how I was feeling.,2.166666667
I wouldn't mind. I would try to find the host and introduce myself especially if there is a way I can find them. Most of the parties with large crowds are pretty easy to blend in anyway. I would text or call my friend that I am inside and see what the vibe of the party is. More than likely I would see if there are any games going on that I might want to join in on or go grab some food and introduce myself to some people. I don't find that all so overwhelming to be honest. I think a lot of people would get impatient. If my friend didn't respond or show up and I wasn't enjoying myself I would leave after about an hour or so.,3.666666667
"I am a socially anxious person and I do not like parties, so I wouldn't be feeling good about going to this party in the first place. I would be annoyed with my friend for being late, because I definitely don't want to go in there without knowing anyone to talk to. The thought of trying to approach strangers to talk to them makes me very anxious. I would try to find a quiet spot to hang out and wait for my friend to arrive. I would probably get my phone out and browse stuff on reddit while I wait.",1
"I would definitely feel awkward not knowing anyone. But I would remind myself that some of these people did know my friend. So that would be a great conversation starter. I could just walk up to random people and ask them if they were familiar with my friend. Then I would tell them the story about how I ended up at a party where I knew no one because my friend who knew them was late! Hopefully my friend would arrive shortly after and she or he could introduce me to the hosts and other guests. Generally speaking I feel that when I am in a situation where I know no one, that is a good opportunity to meet new people. Hopefully I would fit in and have a great time!",3.5
"If I showed up to a party in which I knew no one and my friend showed up late, I would be pissed. There is nothing I hate more than when people take advantage of me or don't think my time is worth anything. The fact that I arrived at the party and my friend couldn't even call to tell me they were running late would make me want to leave. I suppose I would sit in my car for a few minutes while I texted or called my friend. If I didn't hear from them in 10 minutes or so, I would text them to tell them I am going home.",1.5
"I would be upset with my friend, but things happen that are often out of our control. I would do my best to socialize with other people, and try to find the host of the party to tell them that I appreciate them inviting me to the party. Eventually, when my friend did arrive, I could joke about how they abandoned me here all alone with my newly formed friends, and we could all get a laugh at the whole situation, make the night a little easier. I of course wouldn't really be all that mad at my friend, but it would be nice to make light of the situation.",3.166666667
"I would definitely feel awkward in a situation like this. I would text or call my friend and ask how much longer they would be so I could gage how much longer I would be waiting. It would be one thing if I knew the host or even a few people at the party, but I would know no one and it could lead to awkward conversations. If my friend did not respond to me I would most likely end up sitting in the car and waiting for them or stop off somewhere to kill some time until my friend arrived.",3.083333333
"I would absolutely feel irritated. I am not good with people I don't know. I am pretty good if I am around people I know, but I am not comfortable with new people. I would probably be pretty mad at my friend for not arriving on time. I would probably call and text my friend incessantly until my friend gave me an answer. I would possibly drive off to go and do something else until my friend got back to me. I am not likely to go into the party early because I can be very weird around people I do not know.",1.833333333
